ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Miles
1,Location 1 - Location 1,1,1,1,0
2,Location 1 - Location 12,1,12,2,0.239017863
3,Location 1 - Location 29,1,29,3,0.328697752
4,Location 1 - Location 9,1,9,4,0.414558261
5,Location 1 - Location 98,1,98,5,0.502250309
6,Location 1 - Location 42,1,42,6,0.515867908
7,Location 1 - Location 31,1,31,7,0.534190173
8,Location 1 - Location 17,1,17,8,0.615866619
9,Location 1 - Location 59,1,59,9,0.624469789
10,Location 1 - Location 27,1,27,10,0.675849499
11,Location 1 - Location 3,1,3,11,0.680926387
12,Location 1 - Location 10,1,10,12,0.75995121
13,Location 1 - Location 30,1,30,13,0.797535488
14,Location 1 - Location 8,1,8,14,0.854126205
15,Location 1 - Location 25,1,25,15,0.925962724
16,Location 1 - Location 52,1,52,16,0.958886628
17,Location 1 - Location 43,1,43,17,0.963152732
18,Location 1 - Location 50,1,50,18,1.071026665
19,Location 1 - Location 83,1,83,19,1.146796017
20,Location 1 - Location 49,1,49,20,1.158344584
21,Location 1 - Location 54,1,54,21,1.225072123
22,Location 1 - Location 19,1,19,22,1.236758076
23,Location 1 - Location 58,1,58,23,1.248555481
24,Location 1 - Location 7,1,7,24,1.268110003
25,Location 1 - Location 100,1,100,25,1.269418673
26,Location 1 - Location 97,1,97,26,1.329845341
27,Location 1 - Location 66,1,66,27,1.353433839
28,Location 1 - Location 48,1,48,28,1.3913877
29,Location 1 - Location 53,1,53,29,1.396186655
30,Location 1 - Location 79,1,79,30,1.424303825
31,Location 1 - Location 128,1,128,31,1.516533366
32,Location 1 - Location 23,1,23,32,1.527333785
33,Location 1 - Location 122,1,122,33,1.534227857
34,Location 1 - Location 33,1,33,34,1.569222928
35,Location 1 - Location 116,1,116,35,1.588254772
36,Location 1 - Location 14,1,14,36,1.629556381
37,Location 1 - Location 64,1,64,37,1.630475217
38,Location 1 - Location 38,1,38,38,1.663693313
39,Location 1 - Location 11,1,11,39,1.702790598
